,rmse,cell policy
MAGNet,0.07829972915351391,6C(20%)-4.5C
MAGNet,0.07940060459077358,6C(20%)-4.5C
MAGNet,0.11127911508083344,6C(20%)-4.5C
MAGNet,0.08663542754948139,6C(20%)-4.5C
MAGNet,0.055134713649749756,6C(20%)-4.5C
MAGNet,0.051945402286946774,6C(20%)-4.5C
MAGNet,0.0288442294113338,6C(20%)-4.5C
MAGNet,0.05389171466231346,6C(20%)-4.5C
MAGNet,0.04992946423590183,6C(20%)-4.5C
MAGNet,0.039543142542243004,6C(20%)-4.5C
MAGNet,0.028889500070363283,6C(20%)-4.5C
MAGNet,0.05314090475440025,6C(20%)-4.5C
MAGNet,0.03204876556992531,6C(20%)-4.5C
MAGNet,0.02848523762077093,6C(20%)-4.5C
MAGNet,0.04257335886359215,6C(20%)-4.5C
MAGNet,0.029771003872156143,6C(20%)-4.5C
MAGNet,0.030659181997179985,6C(20%)-4.5C
MAGNet,0.02956571662798524,6C(20%)-4.5C
MAGNet,0.03468271344900131,6C(20%)-4.5C
MAGNet,0.03083454817533493,6C(20%)-4.5C
MAGNet,0.038235451094806194,6C(20%)-4.5C
MAGNet,0.04654914420098066,6C(20%)-4.5C
MAGNet,0.054507357999682426,6C(20%)-4.5C
MAGNet,0.0611806632950902,6C(20%)-4.5C
MAGNet,0.0490733589977026,6C(20%)-4.5C
MAGNet,0.052251147106289864,6C(20%)-4.5C
MAGNet,0.031179914716631174,6C(20%)-4.5C
MAGNet,0.039543054066598415,6C(20%)-4.5C
MAGNet,0.051734551787376404,6C(20%)-4.5C
MAGNet,0.04260605201125145,6C(20%)-4.5C
MAGNet,0.035939463414251804,6C(20%)-4.5C
MAGNet,0.0476941242814064,6C(20%)-4.5C
MAGNet,0.056993299163877964,6C(20%)-4.5C
MAGNet,0.06617853045463562,6C(20%)-4.5C
MAGNet,0.059316059574484825,6C(20%)-4.5C
MAGNet,0.0331902215257287,6C(20%)-4.5C
MAGNet,0.029822584241628647,6C(20%)-4.5C
MAGNet,0.03474326338618994,6C(20%)-4.5C
MAGNet,0.04167751222848892,6C(20%)-4.5C
MAGNet,0.038834904320538044,6C(20%)-4.5C
MAGNet,0.046876437962055206,6C(20%)-4.5C
MAGNet,0.04130365513265133,6C(20%)-4.5C
MAGNet,0.028458076063543558,6C(20%)-4.5C
MAGNet,0.038703120313584805,6C(20%)-4.5C
MAGNet,0.03996050450950861,6C(20%)-4.5C
MAGNet,0.045084829442203045,6C(20%)-4.5C
MAGNet,0.03176028095185757,6C(20%)-4.5C
MAGNet,0.02913140133023262,6C(20%)-4.5C
MAGNet,0.03649433050304651,6C(20%)-4.5C
MAGNet,0.035262431018054485,6C(20%)-4.5C
MAGNet,0.035458898171782494,6C(20%)-4.5C
MAGNet,0.04773550946265459,6C(20%)-4.5C
MAGNet,0.0457959333434701,6C(20%)-4.5C
MAGNet,0.04348853696137667,6C(20%)-4.5C
MAGNet,0.03829285316169262,6C(20%)-4.5C
MAGNet,0.051564314402639866,6C(20%)-4.5C
MAGNet,0.032999067567288876,6C(20%)-4.5C
MAGNet,0.02856708038598299,6C(20%)-4.5C
MAGNet,0.031115302816033363,6C(20%)-4.5C
MAGNet,0.031673661433160305,6C(20%)-4.5C
MAGNet,0.018468386493623257,6C(20%)-4.5C
MAGNet,0.022692889906466007,6C(20%)-4.5C
MAGNet,0.018217601347714663,6C(20%)-4.5C
MAGNet,0.01854137657210231,6C(20%)-4.5C
MAGNet,0.01934476848691702,6C(20%)-4.5C
MAGNet,0.01932175876572728,6C(20%)-4.5C
MAGNet,0.01936161518096924,6C(20%)-4.5C
MAGNet,0.019625598564743996,6C(20%)-4.5C
MAGNet,0.021953041665256023,6C(20%)-4.5C
MAGNet,0.019816297106444836,6C(20%)-4.5C
MAGNet,0.019293622113764286,6C(20%)-4.5C
MAGNet,0.024544772692024708,6C(20%)-4.5C
MAGNet,0.02981479372829199,6C(20%)-4.5C
MAGNet,0.01915873261168599,6C(20%)-4.5C
