,rmse,Conditions
MAGNet,0.24205311760306358,09
MAGNet,0.23696518689393997,09
MAGNet,0.2327326387166977,09
MAGNet,0.23111921921372414,09
MAGNet,0.2298654541373253,09
MAGNet,0.22703997045755386,09
MAGNet,0.22356660291552544,09
MAGNet,0.2217935435473919,09
MAGNet,0.21949369832873344,09
MAGNet,0.21806728094816208,09
MAGNet,0.21680866181850433,09
MAGNet,0.21608443185687065,09
MAGNet,0.21563856303691864,09
MAGNet,0.21226433292031288,09
MAGNet,0.20947829261422157,09
MAGNet,0.20805161446332932,09
MAGNet,0.2057834006845951,09
MAGNet,0.20245404168963432,09
MAGNet,0.20089419931173325,09
MAGNet,0.20023952051997185,09
MAGNet,0.19874046370387077,09
MAGNet,0.19736985862255096,09
MAGNet,0.19744309410452843,09
MAGNet,0.1961912028491497,09
MAGNet,0.19585901871323586,09
MAGNet,0.19668832048773766,09
MAGNet,0.19857130572199821,09
MAGNet,0.19901372864842415,09
MAGNet,0.20028232783079147,09
MAGNet,0.20084237679839134,09
MAGNet,0.20219280570745468,09
MAGNet,0.20388279855251312,09
MAGNet,0.20293870568275452,09
MAGNet,0.2062154971063137,09
MAGNet,0.20690074563026428,09
MAGNet,0.20730240643024445,09
MAGNet,0.20732197538018227,09
MAGNet,0.20677191019058228,09
MAGNet,0.20800143107771873,09
MAGNet,0.20656728371977806,09
MAGNet,0.20522377640008926,09
MAGNet,0.2035924792289734,09
MAGNet,0.20084643363952637,09
MAGNet,0.19756781682372093,09
MAGNet,0.19644198566675186,09
MAGNet,0.19304480776190758,09
MAGNet,0.18967515975236893,09
MAGNet,0.18753204867243767,09
MAGNet,0.18462194502353668,09
MAGNet,0.18260488286614418,09
MAGNet,0.18132945150136948,09
MAGNet,0.1788950301706791,09
MAGNet,0.1769113875925541,09
MAGNet,0.17735445871949196,09
MAGNet,0.17520395293831825,09
MAGNet,0.17307043820619583,09
MAGNet,0.1742124930024147,09
MAGNet,0.17206906154751778,09
MAGNet,0.17278863862156868,09
MAGNet,0.1717154197394848,09
MAGNet,0.1712179221212864,09
MAGNet,0.1704513058066368,09
MAGNet,0.167181134223938,09
MAGNet,0.16432378068566322,09
MAGNet,0.160035602748394,09
MAGNet,0.15248477458953857,09
MAGNet,0.14511233940720558,09
MAGNet,0.13673968240618706,09
MAGNet,0.12833863496780396,09
MAGNet,0.11890662088990211,09
MAGNet,0.10600574128329754,09
MAGNet,0.09471083804965019,09
MAGNet,0.08751887828111649,09
MAGNet,0.07643543183803558,09
MAGNet,0.07540256716310978,09
MAGNet,0.0682670883834362,09
MAGNet,0.07075370196253061,09
MAGNet,0.07113463897258043,09
MAGNet,0.07224182970821857,09
MAGNet,0.07339686527848244,09
MAGNet,0.07878591306507587,09
MAGNet,0.08174868673086166,09
MAGNet,0.0874681156128645,09
MAGNet,0.09170587547123432,09
MAGNet,0.0996624156832695,09
MAGNet,0.10854493640363216,09
MAGNet,0.11598883755505085,09
MAGNet,0.12616458721458912,09
MAGNet,0.13392648100852966,09
MAGNet,0.14184870570898056,09
MAGNet,0.1520465947687626,09
MAGNet,0.1611933335661888,09
MAGNet,0.17527854070067406,09
MAGNet,0.1812545545399189,09
MAGNet,0.18182802200317383,09
MAGNet,0.18154189363121986,21
MAGNet,0.20215275138616562,21
MAGNet,0.21713298186659813,21
MAGNet,0.22178320214152336,21
MAGNet,0.21473653987050056,21
MAGNet,0.20709775388240814,21
MAGNet,0.19907784089446068,21
MAGNet,0.1902168020606041,21
MAGNet,0.18043069541454315,21
MAGNet,0.1685555838048458,21
MAGNet,0.1574113517999649,21
MAGNet,0.14682833850383759,21
MAGNet,0.13611518777906895,21
MAGNet,0.12617253698408604,21
MAGNet,0.12027955055236816,21
MAGNet,0.11414325423538685,21
