,alpha-acc,Conditions
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,0.9766666666666667,CY25-05
MAGNet,0.97,CY25-05
MAGNet,0.9666666666666667,CY25-05
MAGNet,0.9433333333333334,CY25-05
MAGNet,0.9433333333333334,CY25-05
MAGNet,0.9066666666666666,CY25-05
MAGNet,0.88,CY25-05
MAGNet,0.8758389261744967,CY25-05
MAGNet,0.8378378378378378,CY25-05
MAGNet,0.8571428571428572,CY25-05
MAGNet,0.8493150684931506,CY25-05
MAGNet,0.8896551724137931,CY25-05
MAGNet,0.8993055555555556,CY25-05
MAGNet,0.916083916083916,CY25-05
MAGNet,0.9154929577464789,CY25-05
MAGNet,0.9078014184397163,CY25-05
MAGNet,0.9142857142857144,CY25-05
MAGNet,0.920863309352518,CY25-05
MAGNet,0.9166666666666667,CY25-05
MAGNet,0.9197080291970803,CY25-05
MAGNet,0.9264705882352942,CY25-05
MAGNet,0.9296296296296296,CY25-05
MAGNet,0.9365671641791045,CY25-05
MAGNet,0.9398496240601504,CY25-05
MAGNet,0.9431818181818181,CY25-05
MAGNet,0.9427480916030535,CY25-05
MAGNet,0.9461538461538461,CY25-05
MAGNet,0.9534883720930232,CY25-05
MAGNet,0.94921875,CY25-05
MAGNet,0.952755905511811,CY25-05
MAGNet,0.9444444444444444,CY25-05
MAGNet,0.9359999999999999,CY25-05
MAGNet,0.9233870967741935,CY25-05
MAGNet,0.9186991869918699,CY25-05
MAGNet,0.9385245901639344,CY25-05
MAGNet,0.9958677685950413,CY25-05
MAGNet,0.9916666666666667,CY25-05
MAGNet,0.9957983193277311,CY25-05
MAGNet,0.9957627118644068,CY25-05
MAGNet,0.9914529914529915,CY25-05
MAGNet,0.9956896551724138,CY25-05
MAGNet,0.9956521739130435,CY25-05
MAGNet,0.9956140350877193,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
