Cycle,LAM_PE,LLI_Cap,Color
96.0,26.060606060606062,7.010531651199681,0.8776503614283354
97.0,27.27272727272727,7.084293548453493,0.8767590764056044
98.0,23.23232323232324,7.121706723848817,0.8759160670937683
99.0,26.262626262626267,7.186455502044675,0.8749808270210837
100.0,28.888888888888886,7.234334953217155,0.8738317689794917
101.0,23.43434343434343,7.270668214717536,0.8732167897882962
102.0,27.474747474747474,7.336481607297484,0.8721236306184219
103.0,25.858585858585858,7.383093401250047,0.8714851076837764
104.0,21.616161616161612,7.435557745541811,0.8704491498543421
105.0,24.64646464646465,7.4692996581007405,0.8697131482948137
106.0,27.27272727272727,7.567852792371237,0.8687415399582425
107.0,19.797979797979803,7.582363752246906,0.8679576603843583
108.0,26.868686868686865,7.6118922531344495,0.8669088611043476
109.0,25.656565656565654,7.685504689453253,0.8660622031605864
